                           * implementing ~(a.(b+c))
                           Transient Analysis  Sun Aug 20 19:01:29  2023
--------------------------------------------------------------------------------
Index   time            v(dutout)       
--------------------------------------------------------------------------------
0	0.000000e+00	3.298441e-01	
1	1.000000e-14	3.298553e-01	
2	2.000000e-14	3.298709e-01	
3	4.000000e-14	3.299077e-01	
4	8.000000e-14	3.299960e-01	
5	1.600000e-13	3.301815e-01	
6	3.200000e-13	3.305523e-01	
7	6.400000e-13	3.312887e-01	
8	1.280000e-12	3.327439e-01	
9	2.280000e-12	3.349716e-01	
10	3.280000e-12	3.371454e-01	
11	4.280000e-12	3.392537e-01	
12	5.280000e-12	3.412624e-01	
13	6.280000e-12	3.431445e-01	
14	7.280000e-12	3.449367e-01	
15	8.280000e-12	3.466688e-01	
16	9.280000e-12	3.483283e-01	
17	1.028000e-11	3.498895e-01	
18	1.128000e-11	3.513292e-01	
19	1.228000e-11	3.526281e-01	
20	1.328000e-11	3.537710e-01	
21	1.428000e-11	3.547306e-01	
22	1.528000e-11	3.554895e-01	
23	1.628000e-11	3.560979e-01	
24	1.728000e-11	3.565787e-01	
25	1.828000e-11	3.569540e-01	
26	1.928000e-11	3.572420e-01	
27	2.028000e-11	3.574572e-01	
28	2.128000e-11	3.576119e-01	
29	2.228000e-11	3.577163e-01	
30	2.328000e-11	3.577793e-01	
31	2.428000e-11	3.578081e-01	
32	2.500000e-11	3.578112e-01	
33	2.510000e-11	3.576370e-01	
34	2.530000e-11	3.572604e-01	
35	2.570000e-11	3.564965e-01	
36	2.650000e-11	3.549771e-01	
37	2.750000e-11	3.530737e-01	
38	2.850000e-11	3.511796e-01	
39	2.950000e-11	3.492875e-01	
40	3.050000e-11	3.474075e-01	
41	3.150000e-11	3.455320e-01	
42	3.250000e-11	3.436694e-01	
43	3.350000e-11	3.418127e-01	
44	3.450000e-11	3.399691e-01	
45	3.550000e-11	3.381320e-01	
46	3.650000e-11	3.363080e-01	
47	3.750000e-11	3.344911e-01	
48	3.850000e-11	3.326870e-01	
49	3.950000e-11	3.308905e-01	
50	4.050000e-11	3.291065e-01	
51	4.150000e-11	3.273304e-01	
52	4.250000e-11	3.255666e-01	
53	4.350000e-11	3.238109e-01	
54	4.450000e-11	3.220673e-01	

Index   time            v(dutout)       
--------------------------------------------------------------------------------
55	4.550000e-11	3.203320e-01	
56	4.650000e-11	3.186087e-01	
57	4.750000e-11	3.168939e-01	
58	4.850000e-11	3.151908e-01	
59	4.950000e-11	3.134964e-01	
60	5.050000e-11	3.118135e-01	
61	5.150000e-11	3.101395e-01	
62	5.250000e-11	3.084768e-01	
63	5.350000e-11	3.068231e-01	
64	5.450000e-11	3.051807e-01	
65	5.550000e-11	3.035472e-01	
66	5.650000e-11	3.019249e-01	
67	5.750000e-11	3.003117e-01	
68	5.850000e-11	2.987095e-01	
69	5.950000e-11	2.971164e-01	
70	6.050000e-11	2.955343e-01	
71	6.150000e-11	2.939614e-01	
72	6.250000e-11	2.923992e-01	
73	6.350000e-11	2.908463e-01	
74	6.450000e-11	2.893042e-01	
75	6.550000e-11	2.877712e-01	
76	6.650000e-11	2.862489e-01	
77	6.750000e-11	2.847359e-01	
78	6.850000e-11	2.832334e-01	
79	6.950000e-11	2.817402e-01	
80	7.050000e-11	2.802574e-01	
81	7.150000e-11	2.787839e-01	
82	7.250000e-11	2.773208e-01	
83	7.350000e-11	2.758670e-01	
84	7.450000e-11	2.744234e-01	
85	7.550000e-11	2.729891e-01	
86	7.650000e-11	2.715650e-01	
87	7.750000e-11	2.701501e-01	
88	7.850000e-11	2.687454e-01	
89	7.950000e-11	2.673499e-01	
90	8.050000e-11	2.659644e-01	
91	8.150000e-11	2.645881e-01	
92	8.250000e-11	2.632218e-01	
93	8.350000e-11	2.618646e-01	
94	8.450000e-11	2.605174e-01	
95	8.550000e-11	2.591793e-01	
96	8.650000e-11	2.578509e-01	
97	8.750000e-11	2.565317e-01	
98	8.850000e-11	2.552222e-01	
99	8.950000e-11	2.539218e-01	
100	9.050000e-11	2.526309e-01	
101	9.150000e-11	2.513492e-01	
102	9.250000e-11	2.500769e-01	
103	9.350000e-11	2.488137e-01	
104	9.450000e-11	2.475599e-01	
105	9.550000e-11	2.463151e-01	
106	9.650000e-11	2.450796e-01	
107	9.750000e-11	2.438531e-01	
108	9.850000e-11	2.426358e-01	
109	9.950000e-11	2.414274e-01	
110	1.005000e-10	2.402282e-01	
111	1.015000e-10	2.390377e-01	
112	1.025000e-10	2.378565e-01	

Index   time            v(dutout)       
--------------------------------------------------------------------------------
113	1.035000e-10	2.366839e-01	
114	1.045000e-10	2.355204e-01	
115	1.055000e-10	2.343655e-01	
116	1.065000e-10	2.332196e-01	
117	1.075000e-10	2.320824e-01	
118	1.085000e-10	2.309540e-01	
119	1.095000e-10	2.298341e-01	
120	1.105000e-10	2.287231e-01	
121	1.115000e-10	2.276205e-01	
122	1.125000e-10	2.265266e-01	
123	1.135000e-10	2.254412e-01	
124	1.145000e-10	2.243643e-01	
125	1.155000e-10	2.232958e-01	
126	1.165000e-10	2.222359e-01	
127	1.175000e-10	2.211842e-01	
128	1.185000e-10	2.201410e-01	
129	1.195000e-10	2.191059e-01	
130	1.205000e-10	2.180793e-01	
131	1.215000e-10	2.170607e-01	
132	1.225000e-10	2.160504e-01	
133	1.235000e-10	2.150482e-01	
134	1.245000e-10	2.140542e-01	
135	1.255000e-10	2.130681e-01	
136	1.265000e-10	2.120902e-01	
137	1.275000e-10	2.111201e-01	
138	1.285000e-10	2.101580e-01	
